SSN	Japanese name	Alphabet of Japanese name	Link for Saezuri navi	Link for BIRD FAN	Lisence	To be loaded	Frequency
1	アオゲラ	aogera	https://db3.bird-research.jp/saezuri/birdsong/detail/54	https://www.birdfan.net/pg/kind/ord16/fam1600/spe160001/	by Cory - CC BY-SA 3.0	1	11.18981019
2	アオサギ	aosagi	https://db3.bird-research.jp/saezuri/birdsong/detail/8	https://www.birdfan.net/pg/kind/ord04/fam0400/spe040017/	by Akio Takenaka - CC BY 4.0	0	
3	アオジ	aoji	https://db3.bird-research.jp/saezuri/birdsong/detail/127	https://www.birdfan.net/pg/kind/ord17/fam1723/spe172316/	by Akio Takenaka - CC BY 4.0	0	
4	アオバト	aobato	https://db3.bird-research.jp/saezuri/birdsong/detail/40	https://www.birdfan.net/pg/kind/ord10/fam1001/spe100109/	by Atsushi Haga - CC BY-NC 4.0	0	
5	アカゲラ	akagera	https://db3.bird-research.jp/saezuri/birdsong/detail/56	https://www.birdfan.net/pg/kind/ord16/fam1600/spe160006/	by Keita Fukasawa - CC BY 4.0	0	
6	アカショウビン	akashobin	https://db3.bird-research.jp/saezuri/birdsong/detail/51	https://www.birdfan.net/pg/kind/ord15/fam1500/spe150002/	by Atsushi Haga - CC BY-NC 4.0	0	
7	アカハラ	akahara	https://db3.bird-research.jp/saezuri/birdsong/detail/86	https://www.birdfan.net/pg/kind/ord17/fam1711/spe171127/	by Atsushi Haga - CC BY-NC 4.0	0	
8	アマツバメ	amatsubame	https://db3.bird-research.jp/saezuri/birdsong/detail/165	https://www.birdfan.net/pg/kind/ord14/fam1400/spe140002/	by Robert Pudwill - CC BY-SA 3.0	0	
9	イカル	ikaru	https://db3.bird-research.jp/saezuri/birdsong/detail/136	https://www.birdfan.net/pg/kind/ord17/fam1724/spe172417/	by Akio Takenaka - CC BY 4.0	0	
10	イソヒヨドリ	isohiyodori	https://db3.bird-research.jp/saezuri/birdsong/detail/81	https://www.birdfan.net/pg/kind/ord17/fam1711/spe171118/	by Atsushi Haga - CC BY-NC 4.0	0	
11	イワツバメ	iwatsubame	https://db3.bird-research.jp/saezuri/birdsong/detail/62	https://www.birdfan.net/pg/kind/ord17/fam1702/spe170205/	by Atsushi Haga - CC BY-NC 4.0	0	
12	ウグイス	uguisu	https://db3.bird-research.jp/saezuri/birdsong/detail/91	https://www.birdfan.net/pg/kind/ord17/fam1713/spe171301/	by Keita Fukasawa - CC BY 4.0	1	7.804195804
13	ウソ	uso	https://db3.bird-research.jp/saezuri/birdsong/detail/135	https://www.birdfan.net/pg/kind/ord17/fam1724/spe172415/	by Atsushi Haga - CC BY-NC 4.0	0	
14	エゾムシクイ	ezomushikui	https://db3.bird-research.jp/saezuri/birdsong/detail/101	https://www.birdfan.net/pg/kind/ord17/fam1713/spe171321/	by NoName - Public domain	0	
15	エナガ	enaga	https://db3.bird-research.jp/saezuri/birdsong/detail/110	https://www.birdfan.net/pg/kind/ord17/fam1716/spe171600/	by Atsushi Haga - CC BY-NC 4.0	0	
16	オオタカ	ootaka	https://db3.bird-research.jp/saezuri/birdsong/detail/12	https://www.birdfan.net/pg/kind/ord06/fam0600/spe060005/	"by Norbert Kenntner, Berlin - CC BY-SA 3.0"	0	
17	オオムシクイ	oomushikui	https://db3.bird-research.jp/saezuri/birdsong/detail/569	https://www.birdfan.net/pg/kind/ord17/fam1713/spe171328/	by Corinna John - CC BY-NC-SA 2.0	0	
18	オオヨシキリ	ooyoshikiri	https://db3.bird-research.jp/saezuri/birdsong/detail/99	https://www.birdfan.net/pg/kind/ord17/fam1713/spe171310/	by Atsushi Haga - CC BY-NC 4.0	1	13.41058941
19	オオルリ	ooruri	https://db3.bird-research.jp/saezuri/birdsong/detail/105	https://www.birdfan.net/pg/kind/ord17/fam1714/spe171405/	by Atsushi Haga - CC BY-NC 4.0	0	
20	オシドリ	oshidori	https://db3.bird-research.jp/saezuri/birdsong/detail/238	https://www.birdfan.net/pg/kind/ord05/fam0500/spe050018/	by Akio Takenaka - CC BY 4.0	0	
21	オナガ	onaga	https://db3.bird-research.jp/saezuri/birdsong/detail/143	https://www.birdfan.net/pg/kind/ord17/fam1732/spe173202/	by Atsushi Haga - CC BY-NC 4.0	0	
22	カケス	kakesu	https://db3.bird-research.jp/saezuri/birdsong/detail/142	https://www.birdfan.net/pg/kind/ord17/fam1732/spe173200/	by NoName - CC SA 1.0	0	
23	カッコウ	kakko	https://db3.bird-research.jp/saezuri/birdsong/detail/42	https://www.birdfan.net/pg/kind/ord11/fam1100/spe110002/	by Tim Peukert - CC BY-SA 3.0	1	3.01998002
24	ガビチョウ	gabicho	https://db3.bird-research.jp/saezuri/birdsong/detail/150	https://www.birdfan.net/pg/kind/ord18/gabicho/	by Charles Lam - CC BY-SA 2.0	1	4.230769231
25	カルガモ	karugamo	https://db3.bird-research.jp/saezuri/birdsong/detail/246	https://www.birdfan.net/pg/kind/ord05/fam0500/spe050020/	by Atsushi Haga - CC BY-NC 4.0	0	
26	カワガラス	kawagarasu	https://db3.bird-research.jp/saezuri/birdsong/detail/178	https://www.birdfan.net/pg/kind/ord17/fam1708/spe170800/	by Akio Takenaka - CC BY 4.0	0	
27	カワセミ	kawasemi	https://db3.bird-research.jp/saezuri/birdsong/detail/52	https://www.birdfan.net/pg/kind/ord15/fam1500/spe150006/	by Keita Fukasawa - CC BY 4.0	0	
