id	mp3	xeno-canto	to be loaded
0	hiyodori_call_01	NA	1
1	hiyodori_call_02	NA	0
2	uguisu_song_01	NA	1
3	suzume_call_01	NA	1
4	suzume_call_02	NA	0
5	hashibutogarasu_call_01	NA	1
6	gabicho_song_01	NA	1
7	kiji_call_01	NA	1
8	hoojiro_song_01	NA	1
9	shijukara_song_01	NA	1
10	hototogisu_song_01	NA	1
11	mejiro_song_01	NA	1
12	hashibosogarasu_call_01	NA	1
13	kawarahiwa_song_01	NA	1
14	kawarahiwa_song_02	NA	0
15	ooyoshikiri_song_01	NA	1
16	hibari_song_01	NA	1
17	segurosekirei_song_01	NA	1
18	segurosekirei_call_02	NA	0
19	tsubame_call_01	NA	1
20	hakusekirei_song_01	NA	1
21	hakusekirei_call_02	NA	0
22	kijibato_call_01	NA	1
23	kisekirei_song_01	NA	1
24	kisekirei_call_02	NA	0
25	yamagara_song_01	NA	1
26	aogera_call_01	NA	1
27	aogera_call_02	NA	0
28	kakko_song_01	NA	1
29	yabusame_song_01	NA	1
30	mukudori_call_01	by Anon Torimi - CC BY-NC-SA 4.0	1
31	kibitaki_song_01	NA	1
32	kogera_call_01	NA	1
33	kogera_call_02	NA	0
34	mozu_song_01	NA	0
35	mozu_call_02	NA	0
36	kojukei_song_01	NA	0
37	iwatsubame_call_01	NA	0
38	fukuro_song_01	NA	0
39	aosagi_call_01	NA	0
40	kurotsugumi_song_01	NA	0
41	tsutsudori_song_01	NA	0
42	ooruri_song_01	NA	0
43	ikaru_song_01	NA	0
44	sankocho_song_01	NA	0
45	enaga_call_01	NA	0
46	toratsugumi_song_01	NA	0
47	higara_song_01	NA	0
48	yamadori_wingbeat_01	NA	0
49	sendaimushikui_song_01	NA	0
50	karugamo_call_01	NA	0
51	sekka_song_01	NA	0
52	kochidori_call_01	NA	0
53	nojiko_song_01	NA	0
54	akagera_call_01	NA	0
55	kakesu_call_01	NA	0
56	nosuri_call_01	NA	0
57	onaga_call_01	NA	0
58	kawasemi_call_01	NA	0
59	tobi_call_01	NA	0
60	akashobin_song_01	NA	0
61	kawagarasu_song_01	NA	0
62	dobato_call_01	NA	0
63	gojukara_song_01	NA	0
64	yotaka_song_01	NA	0
65	aoji_song_01	NA	0
66	shime_call_01	NA	0
67	sashiba_call_01	NA	0
68	kogara_song_01	NA	0
69	ootaka_call_01	NA	0
70	sanshokui_song_01	NA	0
71	hachikuma_call_01	NA	0
72	isohiyodori_song_01	NA	0
73	kosamebitaki_song_01	NA	0
74	oomushikui_song_01	NA	0
75	goisagi_call_01	NA	0
76	akahara_song_01	NA	0
77	aobato_song_01	NA	0
78	yamasemi_call_01	NA	0
79	uso_song_01	NA	0
80	nogoma_song_01	NA	0
81	ezomushikui_song_01	NA	0
82	juichi_call_01	by Peter Boesman - CC BY-NC-ND 4.0	0
83	oshidori_call_01	NA	0
84	misosazai_song_01	NA	0
85	yoshigoi_call_01	NA	0
86	amatsubame_call_01	NA	0
87	hooaka_song_01	NA	0
